NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04627181,"Do Iron And Vitamin B12 Injections Given Together, Improve Hemoglobin In Patients On Hemodialysis?",https://clinicaltrials.gov/study/NCT04627181,Unknown,Iron Deficiency Anemia|B12 Deficiency Anemia,DRUG: Ferric carboxymaltose|DRUG: Hydroxycobalamin|DRUG: Placebo|DRUG: Placebo,"Christian Medical College, Vellore, India",Not available,INTERVENTIONAL
NCT04625387,Dry Needle In Management of Cervicogenic Headache,https://clinicaltrials.gov/study/NCT04625387,Completed,Cervicogenic Headache,OTHER: Dry Needle and Exercise,Raj Nursing and Paramedical College,Not available,INTERVENTIONAL
NCT04624659,A Study of Etavopivat in Adults and Adolescents With Sickle Cell Disease (HIBISCUS),https://clinicaltrials.gov/study/NCT04624659,Active Not Recruiting,Sickle Cell Disease,DRUG: Etavopivat Tablets Low dose|DRUG: Etavopivat Tablets High dose|DRUG: Placebo Tablets|DRUG: Etavopivat Tablets,"Forma Therapeutics, Inc.",This study is currently undergoing a sponsor transition from Forma to Novo Nordisk. Sponsor field will be updated once the transition is complete.,INTERVENTIONAL
NCT04623606,Boost to Brittle Bones - Stem Cell Transplantation for Treatment of Brittle Bones,https://clinicaltrials.gov/study/NCT04623606,Unknown,Osteogenesis Imperfecta,BIOLOGICAL: BOOST cells,"Christian Medical College, Vellore, India","Ministry of Science and Technology, India|Vinnova|Karolinska Institutet",INTERVENTIONAL
NCT04622449,Etiopathogenesis of Anemia in Chronic Liver Disease,https://clinicaltrials.gov/study/NCT04622449,Unknown,Anemia|Chronic Liver Disease,Not available,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,OBSERVATIONAL
NCT04621812,Role of Fecal Microbiota in Predicting Graft Rejection and Sepsis Among Recipients of Living Donor Liver Transplant in First Year.,https://clinicaltrials.gov/study/NCT04621812,Unknown,Acute Liver Failure|Acute-On-Chronic Liver Failure|Liver Cirrhosis,Not available,"Institute of Liver and Biliary Sciences, India",Not available,OBSERVATIONAL
NCT04620447,Intelligent Virtual Reality Therapy System and Testing Its Clinical Efficacy,https://clinicaltrials.gov/study/NCT04620447,Completed,Phobias|Acrophobia|Anxiety,OTHER: Intelligent Virtual Reality Therapy System (IVRTS),"University College of Medical Sciences, India",Norwegian University of Science and Technology|Indraprastha Institute of Information Technology Delhi,INTERVENTIONAL
NCT04618562,Revival Active Program for Adolescents With Depression,https://clinicaltrials.gov/study/NCT04618562,Completed,Depression,OTHER: Revival Active Program,Revival Active,L.E.A.D|NMP Medical Research Institute,INTERVENTIONAL
NCT04618510,SEED-LVPEI Myopia Study,https://clinicaltrials.gov/study/NCT04618510,Unknown,Myopia,DEVICE: SEED 1-dayPure EDOF soft contact lens|DEVICE: Single Vision Spectacles,L.V. Prasad Eye Institute,SEED Co. Ltd.,INTERVENTIONAL
NCT04616326,A Study of Galcanezumab (LY2951742) in Participants 12 to 17 Years of Age With Chronic Migraine,https://clinicaltrials.gov/study/NCT04616326,Active Not Recruiting,Chronic Migraine,DRUG: Galcanezumab|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT04613921,Liver Transplantation in Patients With CirrHosis and Severe Acute-on-Chronic Liver Failure: iNdications and outComEs,https://clinicaltrials.gov/study/NCT04613921,Recruiting,Liver Diseases|Liver Cirrhosis|Acute-On-Chronic Liver Failure|Liver Transplant; Complications,OTHER: Observational Protocol,European Foundation for Study of Chronic Liver Failure,Not available,OBSERVATIONAL
