NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT00879476,Bioequivalence Study of Ramipril 10 mg Capsules Under Fasting Conditions,https://clinicaltrials.gov/study/NCT00879476,Completed,Healthy,DRUG: Ramipril 10mg capsules,Ranbaxy Laboratories Limited,Not available,INTERVENTIONAL
NCT00878943,Open Label Access Study Of Sildenafil In Adult Patients With Pulmonary Arterial Hypertension Completing A1481244 Study,https://clinicaltrials.gov/study/NCT00878943,No Longer Available,Pulmonary Arterial Hypertension,DRUG: Sildenafil citrate,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Not available,EXPANDED_ACCESS
NCT00877383,Efficacy and Safety of Indacaterol Plus Tiotropium Versus Tiotropium Alone in Patients With Chronic Obstructive Pulmonary Disease,https://clinicaltrials.gov/study/NCT00877383,Completed,Chronic Obstructive Pulmonary Disease (COPD),DRUG: Indacaterol 150 μg|DRUG: Tiotropium 18 μg|DRUG: Placebo to indacaterol,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT00877357,"Safety, Long Term Immunogenicity and Lot Consistency Study of Liquid Pentavalent Combination Vaccine",https://clinicaltrials.gov/study/NCT00877357,Unknown,Diphtheria|Tetanus|Pertussis|Hepatitis B|Haemophilus Influenzae Type B,BIOLOGICAL: Shan 5,Shantha Biotechnics Limited,Not available,INTERVENTIONAL
NCT00876824,To Study the Effect Of Single Infusions Of Amphotericin B Lipid Preparations in Treatment of Patients Of Kala Azar,https://clinicaltrials.gov/study/NCT00876824,Completed,"Leishmaniasis, Visceral",DRUG: Amphotericin B Lipid emulsion|DRUG: Liposomal Amphotericin B,Bharat Serums and Vaccines Limited,Ministry of Science and Technology,INTERVENTIONAL
NCT00876798,"A Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Tolerability of Oral Lixivaptan Capsules in Subjects With Euvolemic Hyponatremia",https://clinicaltrials.gov/study/NCT00876798,Completed,Euvolemic Hyponatremia,DRUG: Lixivaptan|DRUG: Placebo,CardioKine Inc.,"Cardiokine Biopharma, LLC|Biogen",INTERVENTIONAL
NCT00876018,"Nutrition, Physical Performance & Fitness in Indian School Children",https://clinicaltrials.gov/study/NCT00876018,Completed,Physical Fitness|Nutritional Status,OTHER: Nutritional supplement|OTHER: Placebo,GlaxoSmithKline,Not available,INTERVENTIONAL
NCT00875030,A Study Comparing Blood Levels After Single-Dose Administration Of Artesunate Sachets (Pfizer) Versus Single-Dose Administration Of Arsuamoon® Tablets (Guilin-China) In Healthy Subjects,https://clinicaltrials.gov/study/NCT00875030,Completed,Healthy Volunteers,DRUG: artesunate sachets|DRUG: Arsuamoon,Pfizer,Not available,INTERVENTIONAL
NCT00872924,Bioequivalence Study of Sumatriptan 100mg Tablets Under Fasting Conditions,https://clinicaltrials.gov/study/NCT00872924,Completed,Healthy,DRUG: sumatriptan 100mg,Ranbaxy Laboratories Limited,Not available,INTERVENTIONAL
NCT00872781,Bioequivalence Study of Quinapril Hydrochloride 20 mg and Hydrochlorothiazide 25 mg Tablets Under Fasting Conditions,https://clinicaltrials.gov/study/NCT00872781,Completed,Healthy,DRUG: fixed dose combination of Quinapril HCl 20 mg and Hydrochlorothiazide 25 mg tablets,Ranbaxy Laboratories Limited,Not available,INTERVENTIONAL
NCT00872274,Bioequivalence Study of Sumatriptan 100mg Tablets Under Fed Conditions,https://clinicaltrials.gov/study/NCT00872274,Completed,Healthy,DRUG: sumatriptan 100mg,Ranbaxy Laboratories Limited,Not available,INTERVENTIONAL
NCT00872235,Bioequivalence Study of Quinapril Hydrochloride 20 mg and Hydrochlorothiazide 25 mg Tablets Under Fed Conditions,https://clinicaltrials.gov/study/NCT00872235,Completed,Healthy,DRUG: fixed-dose combination of quinapril 20 mg and hydrochlorothiazide 25 mg tablets,Ranbaxy Laboratories Limited,Not available,INTERVENTIONAL
NCT00870740,Safety and Efficacy Extension Study of Daclizumab High Yield Process (DAC HYP) in Participants With Multiple Sclerosis Who Have Completed Study 205MS201 (NCT00390221) to Treat Relapsing-Remitting Multiple Sclerosis,https://clinicaltrials.gov/study/NCT00870740,Completed,Relapsing-Remitting Multiple Sclerosis,BIOLOGICAL: BIIB019 (Daclizumab High Yield Process)|DRUG: Placebo,Biogen,AbbVie,INTERVENTIONAL
NCT00870194,A Comparison of Adding Exenatide With Switching to Exenatide in Patients With Type 2 Diabetes Experiencing Inadequate Glycemic Control With Sitagliptin Plus Metformin,https://clinicaltrials.gov/study/NCT00870194,Completed,Type 2 Diabetes Mellitus,DRUG: exenatide and sitagliptin|DRUG: exenatide and placebo,AstraZeneca,Eli Lilly and Company,INTERVENTIONAL
NCT00869908,"Observational Study on the Effect of NovoMix® 30, Levemir® or NovoRapid® (Alone or Combined) in Type 2 Diabetics Previously Treated With Anti-diabetic Medication",https://clinicaltrials.gov/study/NCT00869908,Completed,"Diabetes|Diabetes Mellitus, Type 2",DRUG: insulin aspart|DRUG: insulin detemir|DRUG: biphasic insulin aspart,Novo Nordisk A/S,Not available,OBSERVATIONAL
NCT00868959,Lurasidone - A 24-week Extension Study of Patients With Bipolar I Depression,https://clinicaltrials.gov/study/NCT00868959,Completed,Bipolar Depression,DRUG: lurasidone,"Sumitomo Pharma America, Inc.",Not available,INTERVENTIONAL
NCT00868699,Lurasidone - A 6-week Study of Patients With Bipolar I Depression (Monotherapy),https://clinicaltrials.gov/study/NCT00868699,Completed,Bipolar Depression,DRUG: lurasidone|DRUG: lurasidone|DRUG: Placebo,"Sumitomo Pharma America, Inc.",Not available,INTERVENTIONAL
NCT00868452,Lurasidone - A 6-week Study of Patients With Bipolar I Depression (Add-on),https://clinicaltrials.gov/study/NCT00868452,Completed,Bipolar Depression,DRUG: lurasidone + (lithium or divalproex)|DRUG: Placebo + (lithium or divalproex),"Sumitomo Pharma America, Inc.",Not available,INTERVENTIONAL
NCT00868153,Mirena in Idiopathic Menorrhagia,https://clinicaltrials.gov/study/NCT00868153,Completed,Idiopathic Menorrhagia,"DRUG: Levonorgestrel IUS (Mirena , BAY86-5028)",Bayer,Not available,OBSERVATIONAL
NCT00867516,"Safety, Efficacy and Pharmacokinetics Study of ALD518 in Patients With Active Rheumatoid Arthritis",https://clinicaltrials.gov/study/NCT00867516,Completed,"Arthritis, Rheumatoid",BIOLOGICAL: ALD518|BIOLOGICAL: Infusion without ALD518',CSL Behring,Not available,INTERVENTIONAL
NCT00867048,Strategic Timing of Antiretroviral Treatment,https://clinicaltrials.gov/study/NCT00867048,Completed,HIV Infection,DRUG: All licensed antiretroviral medications,University of Minnesota,"National Institute of Allergy and Infectious Diseases (NIAID)|Copenhagen HIV Programme (CHIP) -- Copenhagen, Denmark|Medical Research Council|Kirby Institute|Washington D.C. Veterans Affairs Medical Center|ANRS, Emerging Infectious Diseases|German Federal Ministry of Education and Research|NEAT - European AIDS Treatment Network|National Health and Medical Research Council, Australia|National Institutes of Health Clinical Center (CC)|National Cancer Institute (NCI)|National Heart, Lung, and Blood Institute (NHLBI)|National Institute of Mental Health (NIMH)|National Institute of Neurological Disorders and Stroke (NINDS)|National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)|Abbott|Bristol-Myers Squibb|Gilead Sciences|GlaxoSmithKline|Merck Sharp & Dohme LLC|Tibotec Pharmaceutical Limited",INTERVENTIONAL
NCT00866970,"Safety, Efficacy and Pharmacokinetics of ALD518 in Patients With Non-Small Cell Lung Cancer-related Fatigue and Cachexia",https://clinicaltrials.gov/study/NCT00866970,Completed,NSCLC|Fatigue|Cachexia,BIOLOGICAL: ALD518|BIOLOGICAL: ALD518|BIOLOGICAL: ALD518|BIOLOGICAL: Infusion of 0.9% Saline without ALD518,CSL Behring,Not available,INTERVENTIONAL
NCT00865826,Observational Study of Specificity of Mycobacterium Tuberculosis Screening and Diagnostics in HIV-Infected Individuals,https://clinicaltrials.gov/study/NCT00865826,Completed,HIV Infections|Tuberculosis,OTHER: Standardized diagnostic evaluation,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections,National Institute of Allergy and Infectious Diseases (NIAID)|National Institute of Dental and Craniofacial Research (NIDCR),OBSERVATIONAL
NCT00865592,Long-term Study to Evaluate the Safety of Dutogliptin/PHX1149T in Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00865592,Terminated,Type 2 Diabetes Mellitus|Type 2 Diabetes,DRUG: dutogliptin,Phenomix,Forest Laboratories,INTERVENTIONAL
NCT00864383,Controlled Comparison of Two Moxifloxacin Containing Treatment Shortening Regimens in Pulmonary Tuberculosis,https://clinicaltrials.gov/study/NCT00864383,Completed,Pulmonary Tuberculosis,"DRUG: Moxifloxacin, Ethambutol, Isoniazid, Pyrazinamide & Rifampicin",Global Alliance for TB Drug Development,"European and Developing Countries Clinical Trials Partnership (EDCTP)|University College, London|Bayer Healthcare Pharmaceuticals, Inc./Bayer Schering Pharma|Sanofi",INTERVENTIONAL
NCT00864331,Optimization of Treatment of Advanced Nonsmall Cell Lung Cancer Using Radiotherapy and Chemotherapy,https://clinicaltrials.gov/study/NCT00864331,Completed,Non Small Cell Lung Cancer,RADIATION: radiation|OTHER: Chemotherapy and radiotherapy|DRUG: Chemotherapy|OTHER: Palliative radiotherapy and chemotherapy,International Atomic Energy Agency,Not available,INTERVENTIONAL
NCT00864175,Open Label Trial of INCB07839 to Determine Effect and Safety of INCB007839 Plus Trastuzumab in HER2 Positive Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00864175,Terminated,Breast Cancer,DRUG: INCB007839|DRUG: INCB007839|DRUG: INCB007839|DRUG: INCB007839|DRUG: trastuzumab|DRUG: Docetaxel,Incyte Corporation,Not available,INTERVENTIONAL
NCT00863746,A 3rd/4th Line Placebo-controlled Trial of Sorafenib in Patients With Predominantly Non Squamous Non-Small Cell Lung Cancer (NSCLC).,https://clinicaltrials.gov/study/NCT00863746,Completed,Carcinoma|Non-Small-Cell Lung,"DRUG: Sorafenib (Nexavar, BAY43-9006)|DRUG: Placebo",Bayer,Not available,INTERVENTIONAL
NCT00863096,Human Papillomavirus Screening and Vaccine Readiness Program,https://clinicaltrials.gov/study/NCT00863096,Withdrawn,Human Papilloma Virus-Related Carcinoma,BIOLOGICAL: Gardasil,"Public Health Research Institute, India",PATH,OBSERVATIONAL
NCT00862355,Bioequivalence Study of SPARC147609 in Patients With Ovarian Cancer,https://clinicaltrials.gov/study/NCT00862355,Completed,Ovarian Carcinoma,DRUG: SPARC147609|DRUG: Reference147609,Sun Pharma Advanced Research Company Limited,Not available,INTERVENTIONAL
NCT00860769,Asha HIV Health Promotion Intervention in India,https://clinicaltrials.gov/study/NCT00860769,Completed,HIV Infections,BEHAVIORAL: ASHA LIFE|BEHAVIORAL: USUAL Care,"University of California, Los Angeles",Not available,INTERVENTIONAL
NCT00860288,Efficacy and Long-Term Safety of Vildagliptin as Add-on Therapy to Metformin in Patients With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT00860288,Completed,"Diabetes Mellitus, Type 2",DRUG: Vildagliptin|DRUG: Metformin|DRUG: Placebo|DRUG: Sitagliptin,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT00860210,Pilot Study Assessing the Feasibility of Treating Foot Drop With the Neurostep™ System.,https://clinicaltrials.gov/study/NCT00860210,Completed,Stroke|Craniocerebral Trauma,DEVICE: Neurostep™ System,Neurostream Technologies G.P.,Not available,INTERVENTIONAL
NCT00860145,Radiosurgery or Open Surgery for Epilepsy Trial,https://clinicaltrials.gov/study/NCT00860145,Completed,Epilepsy,PROCEDURE: radiosurgery|PROCEDURE: temporal lobectomy,"University of California, San Francisco",Not available,INTERVENTIONAL
NCT00860119,Bioequivalence of Alprazolam Sublingual vs Oral Tablets,https://clinicaltrials.gov/study/NCT00860119,Completed,Healthy,DRUG: alprazolam sublingual tablet|DRUG: alprazolam oral tablet,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Not available,INTERVENTIONAL
NCT00859898,Study of Dapagliflozin in Combination With Metformin XR to Initiate the Treatment of Type 2 Diabetes,https://clinicaltrials.gov/study/NCT00859898,Completed,Type 2 Diabetes Mellitus,DRUG: Dapagliflozin|DRUG: Metformin XR|DRUG: Metformin XR|DRUG: dapagliflozin matching Placebo|DRUG: metformin HCl Modified Release matching Placebo,AstraZeneca,Bristol-Myers Squibb,INTERVENTIONAL
NCT00859807,A Bioequivalence Study Comparing Camoquin® Suspension (Pfizer) To Flavoquine® Tablets (Sanofi Aventis) In Healthy Subjects,https://clinicaltrials.gov/study/NCT00859807,Completed,Falciparum Malaria,"DRUG: Flavoquine®, Camoquin® Suspension|DRUG: Flavoquine®, Camoquin® Suspension",Pfizer,Not available,INTERVENTIONAL
NCT00859404,A Clinical Study of Oglemilast in Patients With Mild to Moderate Persistent Asthma,https://clinicaltrials.gov/study/NCT00859404,Unknown,Asthma,DRUG: oglemilast,Glenmark Pharmaceuticals Europe Ltd. (R&D),Not available,INTERVENTIONAL
NCT00858871,First Line Hepato Cellular Carcinoma (HCC),https://clinicaltrials.gov/study/NCT00858871,Completed,Hepato Cellular Carcinoma (HCC),DRUG: Brivanib|DRUG: Placebo|DRUG: Sorafenib|DRUG: Placebo,Bristol-Myers Squibb,Not available,INTERVENTIONAL
NCT00858364,Anemia Treatment for Advanced Non-Small Cell Lung Cancer (NSCLC) Patients Receiving Chemotherapy,https://clinicaltrials.gov/study/NCT00858364,Terminated,Non-Small Cell Lung Cancer|Anemia|Cancer|Lung Cancer,DRUG: Darbepoetin alfa|DRUG: Placebo,Amgen,Not available,INTERVENTIONAL
NCT00856375,"NKTR-102 Versus Irinotecan in Patients With Second-Line, Irinotecan-Naïve, KRAS Mutant, Colorectal Cancer",https://clinicaltrials.gov/study/NCT00856375,Completed,Colorectal Cancer,DRUG: NKTR-102|DRUG: irinotecan,Nektar Therapeutics,Not available,INTERVENTIONAL
NCT00856349,Medtronic Shock-Less Study on Physician Utilization of Shock Reduction Programming,https://clinicaltrials.gov/study/NCT00856349,Completed,Cardiovascular Disease,BEHAVIORAL: Therapy Programming Report (TPR),Medtronic Cardiac Rhythm and Heart Failure,Not available,OBSERVATIONAL
NCT00856284,Efficacy and Safety of Alogliptin Plus Metformin Compared to Glipizide Plus Metformin in Patients With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00856284,Completed,Type 2 Diabetes Mellitus,DRUG: Alogliptin|DRUG: Metformin|DRUG: Glipizide,Takeda,Not available,INTERVENTIONAL
NCT00856206,Review of Safety Using Rilonacept in Preventing Gout Exacerbations (RE-SURGE),https://clinicaltrials.gov/study/NCT00856206,Completed,Gout,BIOLOGICAL: Rilonacept|OTHER: Placebo,Regeneron Pharmaceuticals,Not available,INTERVENTIONAL
NCT00856141,Set up for in-Vivo Measurement of Dynamic Intraocular Pressure (IOP),https://clinicaltrials.gov/study/NCT00856141,Completed,Intraocular Pressure,DEVICE: phacoemulsifcation|DEVICE: phacoemulsifcation,Iladevi Cataract and IOL Research Center,Not available,INTERVENTIONAL
NCT00855985,Anastomotic Techniques in Pancreaticoduodenectomy,https://clinicaltrials.gov/study/NCT00855985,Unknown,Pancreatic Cancer|Pancreatic Fistula,PROCEDURE: type of anastomosis after pancreaticoduodenectomy,Lakeshore Hospital,Not available,INTERVENTIONAL
NCT00855504,Association of Periodontitis and Preeclampsia During Pregnancy,https://clinicaltrials.gov/study/NCT00855504,Completed,Preeclampsia|Periodontal Disease,Not available,Maulana Azad Medical College,"University Grants Commission, New Delhi",OBSERVATIONAL
NCT00855491,Posterior Capsule Opacification (PCO) With AcrySof Single-Piece IOL,https://clinicaltrials.gov/study/NCT00855491,Completed,Posterior Capsule Opacification,PROCEDURE: Phaco,Iladevi Cataract and IOL Research Center,Not available,INTERVENTIONAL
NCT00853658,Efficacy and Safety of Aliskiren and Aliskiren/Enalapril Combination on Morbidity-mortality in Patients With Chronic Heart Failure,https://clinicaltrials.gov/study/NCT00853658,Completed,Chronic Heart Failure,DRUG: Enalapril|DRUG: Aliskiren,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT00853112,A Research Study To Assess The Effectiveness And Safety Of Different Doses Of Oral PF-00489791 In The Treatment Of Adult Patients With Pulmonary Arterial Hypertension,https://clinicaltrials.gov/study/NCT00853112,Terminated,"Hypertension, Pulmonary",DRUG: PF-00489791|DRUG: PF-00489791|DRUG: PF-00489791|DRUG: PF-00489791|DRUG: PF-00489791|DRUG: placebo|DRUG: sildenafil,Pfizer,Not available,INTERVENTIONAL
NCT00851903,Evaluation of Insulin Glargine in Combination With Sitagliptin in Type 2 Diabetes Patients: EASIE Extension Trial,https://clinicaltrials.gov/study/NCT00851903,Completed,"Diabetes Mellitus, Type 2",DRUG: Insulin Glargine|DRUG: Sitagliptin|DRUG: Metformin,Sanofi,Not available,INTERVENTIONAL
NCT00850239,Safety and Efficacy Study of Dutogliptin/PHX1149T in Subjects With Type 2 Diabetes Mellitus on a Background Medication of Metformin,https://clinicaltrials.gov/study/NCT00850239,Terminated,Type 2 Diabetes Mellitus,DRUG: dutogliptin|DRUG: placebo,Phenomix,Forest Laboratories,INTERVENTIONAL
NCT00849667,Efficacy and Safety of Farletuzumab (MORAb-003) in Combination With Carboplatin and Taxane in Participants With Platinum-sensitive Ovarian Cancer in First Relapse,https://clinicaltrials.gov/study/NCT00849667,Terminated,Ovarian Cancer,DRUG: Farletuzumab|DRUG: Carboplatin|DRUG: Taxane|DRUG: Farletuzumab-matched placebo,Morphotek,Eisai Europe Ltd. (United Kingdom),INTERVENTIONAL
NCT00849056,Safety and Efficacy of Albiglutide in Type 2 Diabetes,https://clinicaltrials.gov/study/NCT00849056,Completed,"Diabetes Mellitus, Type 2",BIOLOGICAL: albiglutide|DRUG: placebo,GlaxoSmithKline,Not available,INTERVENTIONAL
NCT00848549,Assessing The Long-Term Safety And To Explore The Long-Term Efficacy Of Zonisamide As Monotherapy In Newly Diagnosed Partial Seizures,https://clinicaltrials.gov/study/NCT00848549,Completed,Epilepsy,DRUG: Zonisamide|DRUG: Carbamazepine,Eisai Inc.,Not available,INTERVENTIONAL
NCT00847717,Trial of IIb Preserving Neck Dissection,https://clinicaltrials.gov/study/NCT00847717,Completed,Oral Cancer,PROCEDURE: Selective neck dissection|PROCEDURE: Conventional Neck dissection,Banaras Hindu University,Not available,INTERVENTIONAL
NCT00847613,"A 2-Year Phase 3 Study Of CP-690,550 In Patients With Active Rheumatoid Arthritis On Background Methotrexate",https://clinicaltrials.gov/study/NCT00847613,Completed,"Arthritis, Rheumatoid","DRUG: CP-690,550|DRUG: CP-690,550|DRUG: CP-690,550|DRUG: CP-690,550|DRUG: Placebo|DRUG: CP-690,550|DRUG: Placebo|DRUG: CP-690,550",Pfizer,Not available,INTERVENTIONAL
NCT00845728,Exacerbation Study,https://clinicaltrials.gov/study/NCT00845728,Completed,Chronic Obstructive Pulmonary Disease,DRUG: Indacaterol 150 µg|DRUG: Tiotropium,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT00843986,Safety and Efficacy of Conivaptan in Hyponatremic Patients With Symptomatic Acute Decompensated Heart Failure (ADHF),https://clinicaltrials.gov/study/NCT00843986,Terminated,Hyponatremia|Acute Decompensated Heart Failure,DRUG: conivaptan|DRUG: placebo,Cumberland Pharmaceuticals,Not available,INTERVENTIONAL
NCT00843050,A Phase II Study to Evaluate Efficacy and Safety of P276-00 in Relapsed and/or Refractory Mantle Cell Lymphoma,https://clinicaltrials.gov/study/NCT00843050,Terminated,Mantle Cell Lymphoma,DRUG: P276-00,Piramal Enterprises Limited,Not available,INTERVENTIONAL
NCT00840918,Intravenous Lidocaine and Postoperative Outcomes After Cardiac Surgery,https://clinicaltrials.gov/study/NCT00840918,Terminated,Atrial Fibrillation,DRUG: Lidocaine|OTHER: Placebo,The Cleveland Clinic,Not available,INTERVENTIONAL
NCT00840190,A Study Of Selective Cyclin Dependent Kinase Inhibitor P1446A-05 In Subjects With Advanced Refractory Malignancies,https://clinicaltrials.gov/study/NCT00840190,Completed,Solid Tumor|Hematologic Malignancy,DRUG: P1446A-05,Piramal Enterprises Limited,Not available,INTERVENTIONAL
NCT00839852,A Study of Cariprazine in Patients With Chronic Stable Schizophrenia,https://clinicaltrials.gov/study/NCT00839852,Completed,Schizophrenia,DRUG: Cariprazine,Forest Laboratories,Gedeon Richter Ltd.,INTERVENTIONAL
NCT00839800,Study to Investigate the Efficacy of Symbicort® SMART.,https://clinicaltrials.gov/study/NCT00839800,Completed,Asthma,DRUG: Symbicort Turbuhaler|DRUG: Terbutaline Turbuhaler,AstraZeneca,Not available,INTERVENTIONAL
NCT00839527,A Study to Determine the Safety and Efficacy of Albiglutide in Subjects With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT00839527,Completed,"Diabetes Mellitus, Type 2",DRUG: placebo to match albiglutide|BIOLOGICAL: albiglutide|DRUG: metformin|DRUG: glimepiride|DRUG: pioglitazone|DRUG: placebo to match pioglitazone,GlaxoSmithKline,Not available,INTERVENTIONAL
NCT00838149,Effect of Glutamine on Intestinal Permeability in Crohn's Disease,https://clinicaltrials.gov/study/NCT00838149,Completed,Crohn's Disease,DIETARY_SUPPLEMENT: Glutamine|DIETARY_SUPPLEMENT: Whey protein,All India Institute of Medical Sciences,Not available,INTERVENTIONAL
NCT00837811,An Open Label Extension Study in Participants With Rheumatoid Arthritis,https://clinicaltrials.gov/study/NCT00837811,Completed,Rheumatoid Arthritis,BIOLOGICAL: LY2127399,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT00836940,A Clinical Study of GRC 8200 in Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00836940,Unknown,Type 2 Diabetes Mellitus,DRUG: GRC 8200,Glenmark Pharmaceuticals Europe Ltd. (R&D),Not available,INTERVENTIONAL
NCT00836836,Modified Atkins Diet in Childhood Epilepsy,https://clinicaltrials.gov/study/NCT00836836,Completed,Refractory Childhood Epilepsy,OTHER: Modified Atkins diet,All India Institute of Medical Sciences,"Council of Scientific and Industrial Research, India",INTERVENTIONAL
NCT00836797,Radiographic Assessment of Bone Regeneration in Alveolar Sockets With PLGA Scaffold,https://clinicaltrials.gov/study/NCT00836797,Completed,Preservation of Alveolar Bone Height With PLGA Bioscaffold,Not available,Bio-Scaffold International Pte Ltd,"National University Hospital, Singapore|Saveetha University",OBSERVATIONAL
NCT00836745,Non-Interventional Study Of Indian Patients With Advanced Renal Cell Cancer Receiving Therapy With Sutent,https://clinicaltrials.gov/study/NCT00836745,Completed,Renal Cell Carcinoma,OTHER: Non Interventional,Pfizer,Not available,OBSERVATIONAL
NCT00835770,BG00012 Monotherapy Safety and Efficacy Extension Study in Multiple Sclerosis (MS),https://clinicaltrials.gov/study/NCT00835770,Completed,Relapsing-Remitting Multiple Sclerosis,DRUG: dimethyl fumarate|DRUG: Placebo,Biogen,Not available,INTERVENTIONAL
NCT00835419,Efficacy Study Of P276-00 In Subjects Of Malignant Melanoma Positive For Cyclin D1 Expression,https://clinicaltrials.gov/study/NCT00835419,Completed,Melanoma,DRUG: P276-00,Piramal Enterprises Limited,Not available,INTERVENTIONAL
NCT00834626,Ileal Interposition With Sleeve Gastrectomy for Control of Diabetes,https://clinicaltrials.gov/study/NCT00834626,Completed,Diabetes,PROCEDURE: Ileal Interposition with Sleeve Gastrectomy,Kirloskar Hospital,Not available,INTERVENTIONAL
NCT00834353,Prospective Study of N-acetyltransferase2 (NAT2) and Cytochrome P4502E1 (CYP2E1) Gene as Susceptible Risk Factors for Antituberculosis (ATT) Induced Hepatitis,https://clinicaltrials.gov/study/NCT00834353,Completed,Pulmonary Tuberculosis,DRUG: ATT,Maulana Azad Medical College,Not available,OBSERVATIONAL
NCT00833703,Long Term Safety of Clopidogrel in Neonates/Infants With Systemic to Pulmonary Artery Shunt Palliation,https://clinicaltrials.gov/study/NCT00833703,Completed,"Heart Defects, Congenital",DRUG: Clopidogrel|DRUG: placebo,Sanofi,Bristol-Myers Squibb,INTERVENTIONAL
NCT00833612,Counterpulsation Reduces Infarct Size Pre-PCI for AMI,https://clinicaltrials.gov/study/NCT00833612,Completed,Acute Myocardial Infarction (AMI),DEVICE: Counterpulsation with IAB,Datascope Corp.,Duke University|Flinders Medical Centre,INTERVENTIONAL
NCT00832143,Effect of Referral Card on Neonatal Medical Care Seeking for Institutional Births in Urban Lucknow,https://clinicaltrials.gov/study/NCT00832143,Completed,Neonatal Morbidity|Neonatal Illnesses,BEHAVIORAL: Referral Card with one-to-one counseling,King George's Medical University,Indian Council of Medical Research,INTERVENTIONAL
NCT00831714,Xarelto for VTE Prophylaxis After Hip or Knee Arthroplasty,https://clinicaltrials.gov/study/NCT00831714,Completed,Venous Thromboembolism,"DRUG: Rivaroxaban (Xarelto, BAY59-7939)|DRUG: Standard care treatment for VTE prophylaxis",Bayer,"Janssen Research & Development, LLC",OBSERVATIONAL
NCT00831441,Phase III Acute Coronary Syndrome,https://clinicaltrials.gov/study/NCT00831441,Terminated,Acute Coronary Syndrome,DRUG: Apixaban|DRUG: Placebo,Bristol-Myers Squibb,Pfizer|Duke Clinical Research Institute,INTERVENTIONAL
NCT00830180,Open Label Extension In Cancer Patients,https://clinicaltrials.gov/study/NCT00830180,Completed,Neoplasms|Bone Metastases,BIOLOGICAL: Anti-NGF AB,Pfizer,Not available,INTERVENTIONAL
NCT00829166,A Study of Trastuzumab Emtansine Versus Capecitabine + Lapatinib in Participants With HER2-positive Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00829166,Completed,Breast Cancer,DRUG: Trastuzumab emtansine|DRUG: Lapatinib|DRUG: Capecitabine,Hoffmann-La Roche,Not available,INTERVENTIONAL
NCT00827931,Study Of Tranexamic Acid For The Reduction Of Blood Loss In Patients Undergoing Major Abdominal Surgery,https://clinicaltrials.gov/study/NCT00827931,Completed,Biliary Tract Surgical Procedures|Pancreaticoduodenectomy|Esophagectomy|Colectomy|Gastrectomy,DRUG: Tranexamic acid + Standard of Care|PROCEDURE: Standard of Care,Pfizer,Not available,INTERVENTIONAL
NCT00827502,Trulimax (Azithromycin ) Non-Interventional Study In Acute Bacterial Upper Respiratory Tract Infections,https://clinicaltrials.gov/study/NCT00827502,Completed,Upper Respiratory Tract Infections,Not available,Pfizer,Not available,OBSERVATIONAL
NCT00825955,Comparison of Brivanib and Best Supportive Care to Placebo for Treatment of Liver Cancer for Those Subjects Who Have Failed Sorafenib Treatment,https://clinicaltrials.gov/study/NCT00825955,Completed,Liver Cancer,DRUG: Brivanib|OTHER: Placebo|PROCEDURE: Best Supportive Care,Bristol-Myers Squibb,Not available,INTERVENTIONAL
NCT00824564,Study Of Tranexamic Acid For The Reduction Of Blood Loss In Patients Undergoing Surgery For Long Bone Fracture,https://clinicaltrials.gov/study/NCT00824564,Completed,Femoral Fractures,DRUG: Tranexamic Acid plus standard of care|PROCEDURE: Standard of care,Pfizer,Not available,INTERVENTIONAL
NCT00824343,A Phase II Clinical Trial to Study the Efficacy and Safety of a New Drug P276-00 in Treatment of Recurrent and/or Locally Advanced Head and Neck Cancer,https://clinicaltrials.gov/study/NCT00824343,Completed,Squamous Cell Carcinoma of Head and Neck,DRUG: P276-00,Piramal Enterprises Limited,Not available,INTERVENTIONAL
NCT00824265,Ofatumumab Added to Fludarabine-Cyclophosphamide vs Fludarabine-Cyclophosphamide Combination in Relapsed Subjects With Chronic Lymphocytic Leukemia,https://clinicaltrials.gov/study/NCT00824265,Completed,"Leukaemia, Lymphocytic, Chronic",DRUG: OFC Infusion|DRUG: FC infusion,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
